Agency,Reservation_Date,Hotel_Chain_Code,Hotel_Chain_Name,Hotel_Property_Name,Hotel_Address,Hotel_City_Name,Hotel_State,Hotel_Zip_Code,Hotel_Country_Code,Check_In_Date,Check_Out_Date,Number_of_Room_Nights,Daily_Rate,Total_Spend,GDS_Record_Locator,Online_Booking_Indicator
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Sioux Falls,SD,NULL,US,00:00.0,00:00.0,6,29.6667,178.0002,ARWGBY,NULL
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN MISSOULA,3720 N. RESERVE ST.,MISSOULA,MT,NULL,US,00:00.0,00:00.0,1,89,89,RUFYPM,N
Agency A,00:00.0,HI,HOLIDAY INNS,HI Holiday Inn Express Anchorage,4411 Spenard Road,Anchorage                ,AK,99517,US,00:00.0,00:00.0,1,99,99,ZXGUDD,NULL
Agency A,00:00.0,IQ,SCANRES HOSPITALITY,IQ Westmark Fairbanks Hotel FAI,813 Noble St,Fairbanks                ,AK,99701,US,00:00.0,00:00.0,1,75,75,QSCGMG,NULL
Agency A,00:00.0,IQ,SCANRES HOSPITALITY,IQ Westmark Fairbanks Hotel FAI,813 Noble St,Fairbanks                ,AK,99701,US,00:00.0,00:00.0,4,85,340,XUYRBQ,NULL
Agency A,00:00.0,LM,LEXINGTON MGNT CORP.,LM The Voyager Hotel,501 K Street,Anchorage                ,AK,99501,US,00:00.0,00:00.0,2,75,150,FEIWPT,NULL
Agency A,00:00.0,MC,MARRIOTT HOTELS,MC Marriott Anchorage Dtwn,820 W 7Th Ave,Anchorage                ,AK,99501,US,00:00.0,00:00.0,4,99,396,RWPKBQ,NULL
Agency A,00:00.0,OR,OUTRIGGER HOTELS,OR Outrigger Luana Waikiki,2045 Kalakaua Avenue,Honolulu                 ,HI,96815,US,00:00.0,00:00.0,2,149,298,ZMNAYM,NULL
Agency A,00:00.0,OR,OUTRIGGER HOTELS,OR Outrigger Luana Waikiki,2045 Kalakaua Avenue,Honolulu                 ,HI,96815,US,00:00.0,00:00.0,3,169,507,ZMNAYM,NULL
Agency A,00:00.0,SC,SCEPTRE HOSPITALITY SVCS,SC Pikes Waterfront Lodge,1850 Hoselton Road,Fort Wainwright          ,AK,99703,US,00:00.0,00:00.0,5,69,345,QOWXTC,NULL
Agency A,00:00.0,WV,TRAVELCLICK,WV Castle Hilo Hawaiian Hotel ITO,71 Banyan Drive,Hilo                     ,HI,96720,US,00:00.0,00:00.0,1,149,149,ZMNAYM,NULL
Agency A,00:00.0,YX,SYNXIS CORPORATION,YX Larkspur Landing Sacramento,555 Howe Ave,Sacramento               ,CA,95825,US,00:00.0,00:00.0,2,102,204,NPFRSR,NULL
Agency A,00:00.0,YX,SYNXIS CORPORATION,YX Larkspur Landing Sacramento,555 Howe Ave,Sacramento               ,CA,95825,US,00:00.0,00:00.0,2,102,204,QKHCVK,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,3,15,45,GJLRZL,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,3,15,45,THKEQI,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,5,59.8,299,QOWXTC,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,4,46,184,XUYRBQ,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Hilo,HI,NULL,US,00:00.0,00:00.0,2,30,60,ZMNAYM,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Honolulu,HI,NULL,US,00:00.0,00:00.0,7,13.5714,94.9998,ZMNAYM,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Kahului,HI,NULL,US,00:00.0,00:00.0,1,15,15,ZMNAYM,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Lihue,HI,NULL,US,00:00.0,00:00.0,1,15,15,ZMNAYM,NULL
Agency A,00:00.0,RA,RAMADA HOTELS & INNS                    ,RAMADA COSTA DEL SOL LIMA AIRPORT,AVE. ELMER FAUCETT S/N.,LIMA,NULL,NULL,PE,00:00.0,00:00.0,1,173,173,HDAQXQ,N
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Miami,FL,NULL,US,00:00.0,00:00.0,8,16,128,GVTTNA,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard New Orleans Metairie,2 Galleria Blvd,Metairie                 ,LA,70001,US,00:00.0,00:00.0,4,140,560,EZTIBN,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard New Orleans Metairie,2 Galleria Blvd,Metairie                 ,LA,70001,US,00:00.0,00:00.0,4,140,560,RVLELS,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS,DT Doubletree New Orleans Canal St,300 Canal Street,New Orleans              ,LA,70130,US,00:00.0,00:00.0,3,140,420,ACUHFM,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,New Orleans,LA,NULL,US,00:00.0,00:00.0,4,24,96,RVLELS,NULL
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,149,298,EEURAP,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN BILLINGS,2465 GRANT RD.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,3,83,249,YVUDDJ,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN CALGARY AIRPORT,2335 PEGASUS RD. N.E.,CALGARY,AB,NULL,CA,00:00.0,00:00.0,3,253.68,761.04,BNHXNJ,N
Agency A,00:00.0,HY,HYATT HOTELS                            ,HYATT REGENCY RESTON,1800 PRESIDENTS ST.,WASHINGTON,DC,NULL,US,00:00.0,00:00.0,1,226,226,ZHQUUE,N
Agency A,00:00.0,MU,MILLENNIUM HTL,MU Millennium Alaskan Hotel Anchorage,4800 Spenard Rd,Anchorage                ,AK,99517,US,00:00.0,00:00.0,1,99,99,EEXHJF,NULL
Agency A,00:00.0,OM,OMNI HOTELS,OM Omni Royal Orleans,621 St Louis St,New Orleans              ,LA,70140,US,00:00.0,00:00.0,2,140,280,HOXJJL,NULL
Agency A,00:00.0,OZ,SUPER 8,Super 8 Fairbanks AK,1909 Airport Way,Antelope                 ,OR,97001 4009,US,00:00.0,00:00.0,4,139.88,559.52,GEWHFM,NULL
Agency A,00:00.0,RC,RESIDENCE INNS,RC Residence Inn Arlingt Marriott DCA,650 N Quincy St,Arlington                ,VA,22203,US,00:00.0,00:00.0,3,219,657,HOXJJL,NULL
Agency A,00:00.0,RC,RESIDENCE INNS,RC Residence Inn Arlingt Marriott DCA,650 N Quincy St,Arlington                ,VA,22203,US,00:00.0,00:00.0,22,184,4048,HOXJJL,NULL
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,URJCXA,N
Agency A,00:00.0,TL,TRAVELODGE,TL Travelodge Hotel Juneau,9200 Glacier Highway,Juneau                   ,AK,99801,US,00:00.0,00:00.0,1,109,109,NMZHJM,NULL
Agency A,00:00.0,TL,TRAVELODGE,TL Travelodge Hotel Juneau,9200 Glacier Highway,Juneau                   ,AK,99801,US,00:00.0,00:00.0,1,109,109,NMZHJM,NULL
Agency A,00:00.0,CP,CROWNE PLAZA HOTELS                     ,CROWNE PLAZA BILLINGS,27 N. 27TH ST.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,1,83,83,GPMFTI,N
Agency A,00:00.0,CP,CROWNE PLAZA HOTELS                     ,CROWNE PLAZA BILLINGS,27 N. 27TH ST.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,1,83,83,HROIGP,N
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard Denver Sw,7180 W Hampden Blvd,Denver                   ,CO,80227,US,00:00.0,00:00.0,2,94,188,KJVLKR,NULL
Agency A,00:00.0,CY,COURTYARD BY MARRIOTT,CY Courtyard San Francisco Dt,299 2Nd Street,San Francisco            ,CA,94105,US,00:00.0,00:00.0,7,309,2163,MBEVMA,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS                       ,DOUBLETREE BY HILTON PORTLAND,1000 N.E. MULTNOMAH,PORTLAND,OR,NULL,US,00:00.0,00:00.0,2,126,252,LOUAFL,N
Agency A,00:00.0,DT,DOUBLETREE HOTELS                       ,DOUBLETREE BY HILTON SPOKANE CITY CTR.,322 N. SPOKANE FALLS CT.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,2,88,176,YNPFGS,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES TURLOCK,3301 COUNTRYSIDE DR.,MODESTO,CA,NULL,US,00:00.0,00:00.0,10,84,840,LGGAUD,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES TURLOCK,3301 COUNTRYSIDE DR.,MODESTO,CA,NULL,US,00:00.0,00:00.0,16,84,1344,KQUUDZ,N
Agency A,00:00.0,FN,FAIRFIELD INN                           ,FAIRFIELD INN & SUITES TURLOCK,3301 COUNTRYSIDE DR.,MODESTO,CA,NULL,US,00:00.0,00:00.0,7,84,588,VFFFQP,N
Agency A,00:00.0,FN,FAIRFIELD INN,FN Fairfield Inn N Stes Marriott DCA,500 H Street Nw,Washington               ,DC,20001,US,00:00.0,00:00.0,11,184,2024,BZFSRC,NULL
Agency A,00:00.0,FN,FAIRFIELD INN,FN Fairfield Inn N Stes Marriott DCA,500 H Street Nw,Washington               ,DC,20001,US,00:00.0,00:00.0,1,183,183,BZFSRC,NULL
Agency A,00:00.0,FN,FAIRFIELD INN,FN Fairfield Inn N Stes Marriott DCA,500 H Street Nw,Washington               ,DC,20001,US,00:00.0,00:00.0,1,183,183,BZFSRC,NULL
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,EOIFSS,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,JEZAUV,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,YRHDTM,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,GQRDTQ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,RHUWGQ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,UTTHGK,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,WTBANE,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,YJJEFZ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,ZVMZCJ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,EPFDVF,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,FQYJND,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,DQWNUO,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,149,447,TFTWNQ,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,QBPIJE,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,VCLZCI,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,VDOFRM,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,ORLGQK,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,6,149,894,QOGTHF,N
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES PALM DESERT,36999 COOK ST.,PALM SPRINGS,CA,NULL,US,00:00.0,00:00.0,2,105,210,AYMWTC,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN BILLINGS,2465 GRANT RD.,BILLINGS,MT,NULL,US,00:00.0,00:00.0,4,83,332,NTFELW,N
Agency A,00:00.0,HH,HILTON/CONRAD HOTELS                    ,HILTON GARDEN INN DENVER DOWNTOWN,1400 WELTON ST.,DENVER,CO,NULL,US,00:00.0,00:00.0,7,149,1043,YRNLYT,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN & SUITES ALBUQUERQUE AIRPORT,1501 SUNPORT PL.,ALBUQUERQUE,NM,NULL,US,00:00.0,00:00.0,4,79.95,319.8,TWHFGA,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS HOTEL & SUITES,2224 AUBURN BLVD.,SACRAMENTO,CA,NULL,US,00:00.0,00:00.0,3,94.99,284.97,NHMGRR,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN EXPRESS HOTEL & SUITES,2224 AUBURN BLVD.,SACRAMENTO,CA,NULL,US,00:00.0,00:00.0,3,94.99,284.97,STHFFC,N
Agency A,00:00.0,HI,HOLIDAY INNS                            ,HOLIDAY INN SAN FRANCISCO CIVIC CENTER,50 8TH ST.,SAN FRANCISCO,CA,NULL,US,00:00.0,00:00.0,5,155,775,CRBTPB,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN BOISE AIRPORT,3270 S. SHOSHONE,BOISE,ID,NULL,US,00:00.0,00:00.0,2,83,166,OWBMNG,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,139,556,JOBNOW,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,149,596,MNQUUE,N
Agency A,00:00.0,HX,HAMPTON INNS                            ,HAMPTON INN DENVER WEST,137 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,4,156,624,ZVMHMX,N
Agency A,00:00.0,HX,HAMPTON INNS,HX Hampton Inn Stes Miami ARPT S,777 Nw 57Th Ave,Miami                    ,FL,33126,US,00:00.0,00:00.0,1,125,125,BEAAHP,NULL
Agency A,00:00.0,LQ,LA QUINTA INN AND SUITES,La Quinta Miami Air,3501 Nw Le Jeune Road,Miami                    ,FL,33142,US,00:00.0,00:00.0,1,85,85,BEAAHP,NULL
Agency A,00:00.0,MC,MARRIOTT HOTELS                         ,MARRIOTT DENVER WEST,1717 DENVER W. BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,3,156,468,PNYQTN,N
Agency A,00:00.0,MC,MARRIOTT HOTELS                         ,MARRIOTT EL PASO,1600 AIRWAY BLVD.,EL PASO,TX,NULL,US,00:00.0,00:00.0,1,101.95,101.95,EUJJGR,N
Agency A,00:00.0,MC,MARRIOTT HOTELS                         ,MARRIOTT GRAND CHATEAU,75 E. HARMON AVE.,LAS VEGAS,NV,NULL,US,00:00.0,00:00.0,2,92,184,OFORUO,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN DENVER SOUTHWEST,7050 W. HAMPDEN AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,99.95,499.75,SLUMLA,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,5,134.95,674.75,EQOUIO,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,5,139.95,699.75,FTAOFK,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,3,139.95,419.85,HDXWYY,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,3,139.95,419.85,MASEHH,N
Agency A,00:00.0,RC,RESIDENCE INNS BY MARRIOTT              ,RESIDENCE INN WEST-GOLDEN,14600 W. 6TH AVE. FRONTAGE,DENVER,CO,NULL,US,00:00.0,00:00.0,4,139.95,559.8,CHTFRC,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON DENVER WEST,360 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,2,149,298,YEYUIR,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON GRAND SACRAMENTO,1230 J ST.,SACRAMENTO,CA,NULL,US,00:00.0,00:00.0,3,102,306,GTHJOE,N
Agency A,00:00.0,SI,SHERATON HOTELS                         ,SHERATON PREMIERE TYSONS CORNER VIENNA,8661 LEESBURG PIKE,WASHINGTON,DC,NULL,US,00:00.0,00:00.0,3,184,552,FNUUFG,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,VPVFRL,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,83,83,UBAEBN,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,ALFRHJ,N
Agency A,00:00.0,WG,WINGATE INNS                            ,WINGATE BY WYNDHAM SPOKANE,2726 S. FLINT RD.,SPOKANE,WA,NULL,US,00:00.0,00:00.0,1,88,88,JXLLCB,N
Agency A,00:00.0,WM,WESTMARK HOTELS,WM Westmark Fairbanks,813 Noble St,Fairbanks                ,AK,99701,US,00:00.0,00:00.0,2,99,198,RERGRR,NULL
Agency A,00:00.0,WV,TRAVELCLICK,WV Dimond Center Hotel,700 E Dimond Blvd,Anchorage                ,AK,99515,US,00:00.0,00:00.0,3,99,297,TUWPQA,NULL
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,GQRDTQ,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,RHUWGQ,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,UTTHGK,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,WTBANE,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,YJJEFZ,N
Agency A,00:00.0,XV,SPRINGHILL SUITES                       ,SPRINGHILL SUITES DENVER AIRPORT,18350 E. 68TH AVE.,DENVER,CO,NULL,US,00:00.0,00:00.0,1,146,146,ZVMZCJ,N
Agency A,00:00.0,XV,SPRINGHILL SUITES,XV Springhill Stes Marriott University A,4050 University Lake Dr,Anchorage                ,AK,99508,US,00:00.0,00:00.0,2,99,198,DTMTZU,NULL
Agency A,00:00.0,XX,INDEPENDENT HOTELS                      ,CASTLE HILO HAWAIIAN,71 BANYAN DR.,HILO,HI,NULL,US,00:00.0,00:00.0,3,114,342,ZDIUTT,N
Agency A,00:00.0,XX,INDEPENDENT HOTELS                      ,TOWN AND COUNTRY RESORT,500 HOTEL CIR. N.,SAN DIEGO,CA,NULL,US,00:00.0,00:00.0,5,119,595,ZVGOBD,N
Agency A,00:00.0,ZD,BUDGET RENT A CAR,BUDGET RENT A CAR,NULL,Jackson,MS,NULL,US,00:00.0,00:00.0,3,35,105,RKWNVF,NULL
Agency A,00:00.0,ZT,THRIFTY RENT A CAR,THRIFTY RENT A CAR,NULL,Lihue,HI,NULL,US,00:00.0,00:00.0,1,15,15,NSGYJQ,NULL
Agency A,00:00.0,NULL,XX Bentleys BNB,XX Bentleys BNB,624 1st Ave,Bethel                   ,AK,99559,US,00:00.0,00:00.0,3,178,534,VHPBFR,NULL
Agency A,00:00.0,NULL,XX Bristol Inn,XX Bristol Inn,1221 First Avenue,Dillingham               ,AK,99576,US,00:00.0,00:00.0,1,168,168,VFXLLQ,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Anchorage,AK,NULL,US,00:00.0,00:00.0,4,9,36,ETLKQQ,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Anchorage,AK,NULL,US,00:00.0,00:00.0,4,9,36,TFDCMF,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,1,68,68,QGQWOR,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,1,49,49,WGQCIQ,NULL
Agency A,00:00.0,DT,DOUBLETREE HOTELS,DT Doubletree Portland-Lloyd Ctr,1000 Ne Multnomah,Portland                 ,OR,97232,US,00:00.0,00:00.0,3,126,378,GUMLRT,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Denver,CO,NULL,US,00:00.0,00:00.0,2,22,44,HIMVIR,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Denver,CO,NULL,US,00:00.0,00:00.0,3,16,48,SMPMRT,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Washington DC,DC,NULL,US,00:00.0,00:00.0,5,23.8,119,GWNXFS,NULL
Agency A,00:00.0,HG,HOMEWOOD SUITE                          ,HOMEWOOD SUITES BY HILTON DENVER WEST,139 UNION BLVD.,DENVER,CO,NULL,US,00:00.0,00:00.0,5,149,745,WDYUCI,N
Agency A,00:00.0,IQ,SCANRES HOSPITALITY,IQ Westmark Anchorage Hotel ANC,720 W Fifth Ave,Anchorage                ,AK,99501,US,00:00.0,00:00.0,1,99,99,FXWKRQ,NULL
Agency A,00:00.0,IQ,SCANRES HOSPITALITY,IQ Westmark Fairbanks Hotel FAI,813 Noble St,Fairbanks                ,AK,99701,US,00:00.0,00:00.0,2,75,150,NGCDIT,NULL
Agency A,00:00.0,PH,PREFERRED HOTELS,PH Hotel Captain Cook,5Th At K Street,Anchorage                ,AK,99501,US,00:00.0,00:00.0,1,99,99,SBGYQR,NULL
Agency A,00:00.0,RL,RED LION HOTELS,RL Red Lion Parkcenter Suites,424 E Parkcenter Blvd,Boise                    ,ID,83706,US,00:00.0,00:00.0,2,83,166,SMPMRT,NULL
Agency A,00:00.0,SC,SCEPTRE HOSPITALITY SVCS,SC Pikes Waterfront Lodge,1850 Hoselton Road,Fort Wainwright          ,AK,99703,US,00:00.0,00:00.0,1,75,75,WGQCIQ,NULL
Agency A,00:00.0,WV,TRAVELCLICK,WV Dimond Center Hotel,700 E Dimond Blvd,Anchorage                ,AK,99515,US,00:00.0,00:00.0,3,99,297,TUWPQA,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Fairbanks,AK,NULL,US,00:00.0,00:00.0,3,46,138,WCOWWY,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Manchester,NH,NULL,US,00:00.0,00:00.0,4,15,60,EKZSLR,NULL
Agency A,00:00.0,ZR,DOLLAR RENT A CAR,DOLLAR RENT A CAR,NULL,Washington DC,DC,NULL,US,00:00.0,00:00.0,4,15,60,VDEWIN,NULL
Agency A,00:00.0,ZT,THRIFTY RENT A CAR,THRIFTY RENT A CAR,NULL,Raleigh,NC,NULL,US,00:00.0,00:00.0,7,21.4286,150.0002,SBGYQR,NULL
Agency A,00:00.0,ZT,THRIFTY RENT A CAR,THRIFTY RENT A CAR,NULL,Salt Lake City,UT,NULL,US,00:00.0,00:00.0,4,18,72,LAXVGG,NULL
Agency A,00:00.0,AL,ALOFT HOTELS,ALAMO RENT A CAR,NULL,Washington DC,DC,NULL,US,00:00.0,00:00.0,4,24,96,RXRACZ,NULL
Agency A,00:00.0,ET,MARRIOTT CONFERENCE CTR,ENTERPRISE RENT A CAR,NULL,Boise,ID,NULL,US,00:00.0,00:00.0,11,23.5718,259.2898,TFUFHS,NULL
