VENDOR_DUNS_NUMBER,FISCAL_YEAR,COUNT(1),SUM(TOTAL_OBLIGATED_AMOUNT)
58072224,2014,61,1905185.86
145051491,2014,11,71595.84
248664831,2014,9,167308.25
56989031,2014,14,1057037
50845460,2014,75,1230098.41
126925572,2014,46,10013288.04
181790858,2014,2,104880
172774890,2014,38,284830.43
621491534,2014,115,5850934.12
74837626,2014,2,74050
38350351,2014,43,630974.26
78755028,2014,1,62400
72573269,2014,140,29699656.8
102272143,2014,3,4499.8
808158539,2014,10,297380
968978952,2014,33,276259
432867187,2014,1,34512.87
7923014,2014,57,201977686.5
689155604,2014,27,1772279.97
534755926,2014,2,29723.69
198241895,2014,171,17309951.09
148691207,2014,11,157974.4
360665355,2014,4,1459077.28
79113976,2014,17,276469.21
93665359,2014,1,3508
130280675,2014,33,4508506.11
140185849,2014,6,133822.12
86591724,2014,125,898115.5
171829914,2014,13,47145524.27
4644444,2014,6,22495
969944060,2014,1,0
555885920,2014,110,12510953.71
809974293,2014,1,11390
43242825,2014,2,35206.05
1223692,2014,85,1959359.15
32237643,2014,3,1544.56
282831585,2014,8,868768.85
31388130,2014,1,5672
126599190,2014,1,35800
113012090,2014,20,348200.22
942153623,2014,2,445917
557115896,2014,7,15664
965492416,2014,152,2029850.72
963999651,2014,10,30151331.23
119261290,2014,6,640784.56
949179162,2014,49,2520468
2580780,2014,14,200692.4
6263206,2014,22,130772.32
31766751,2014,10,329625
837213636,2014,5,85730
167215347,2014,15,82470
93294957,2014,11,10900619.73
835893645,2014,2,55639.35
967291019,2014,2,1202152.29
138408906,2014,32,733052.75
2914133,2014,8,170765.3
557410284,2014,5,60256.84
54898964,2014,4,653530.51
793586405,2014,67,5288034.81
6265722,2014,31,1165927.49
26368993,2014,3,236980
77795672,2014,26,1180217.86
623004848,2014,1,0
826456279,2014,55,979501.14
101920791,2014,4,255081.08
793569208,2014,1,23215
88383414,2014,2,3674627.02
825324705,2014,2,44200
2136877,2014,418,16148431
148173503,2014,17,212301.23
6024749,2014,20,444470.14
28773133,2014,53,2576930.57
144308004,2014,32,16241797.11
102377298,2014,94,2076584
71368109,2014,8,1135635.2
806914482,2014,63,48880765.44
808366244,2014,6,25205.18
54317800,2014,33,569045.39
9255571,2014,35,236370.55
20784906,2014,37,293500
837728588,2014,15,1773344.19
830337551,2014,4,17000
95306551,2014,1,9984.6
47519293,2014,3,79950
191233134,2014,15,543736.06
131209058,2014,51,3200757.98
88502989,2014,1,4500
119778806,2014,9,581153485
241987692,2014,2,9925
609950084,2014,125,2225457.76
78342376,2014,101,1205567.34
627896160,2014,2,13315.83
47966593,2014,9,6648798.77
792535812,2014,8,315234.16
13010013,2014,1,15700
4469300,2014,233,1567079.22
94181476,2014,6,21345.12
64849557,2014,2,38135.35
927930792,2014,6,33222.43
61121174,2014,2,2853276.46
794288766,2014,7,165767.5
22257054,2014,3,486028
79435930,2014,1,1050
792750544,2014,3,42392.91
78491500,2014,2,200080.75
625169016,2014,16,1119773.69
186875076,2014,1,21315.42
603124228,2014,7,11059.02
824945448,2014,38,1685023.23
110187379,2014,15,3010905.48
128686032,2014,3,5050775
826190001,2014,30,1349231.32
831040378,2014,5,540739.61
39224265,2014,1,3250
39981550,2014,33,151879.87
622206068,2014,23,613722.58
794939868,2014,43,228604.42
958159345,2014,3,370011.77
827856670,2014,19,91631.2
14664403,2014,40,582264.22
506830376,2014,40,37286108.86
104263269,2014,42,718123.91
166892229,2014,1,2496.44
88725288,2014,5,38883.85
103015707,2014,4,93568.25
23058159,2014,23,141710.64
99288102,2014,17,4193001.33
21447132,2014,4,1174500
91448431,2014,55,1449157.72
688282326,2014,37,16179951.33
8302929,2014,143,1550562.09
963615807,2014,6,210774.08
133036850,2014,6,385452.23
74099904,2014,13,415012.08
61332201,2014,5,1053242.6
49224819,2014,45,311844.8
70323111,2014,1,12604.68
79335252,2014,1,127706
67400093,2014,6,462610.85
23340011,2014,1,21732
62670229,2014,28,348649.85
826046091,2014,31,274732.6
49281702,2014,70,612863.87
140738118,2014,3,130850.5
137462706,2014,2,29306
84868314,2014,14,9754.37
79259281,2014,1,5759463
38026325,2014,1,70130.33
78855864,2014,1,30720
781824842,2014,2,24500
6600472,2014,35,16729236.39
175726868,2014,7,2578735
792861783,2014,14,146184.02
939827127,2014,12,528858.67
17689373,2014,55,4609856.98
120811450,2014,1,295700
131033516,2014,96,6593771.17
131666708,2014,128,4834986.07
33949397,2014,4,120141.81
962340175,2014,51,418729.66
15811248,2014,11,244345.26
76514418,2014,1,52883248
107254062,2014,49,98574185.19
18240817,2014,13,70622.94
788427388,2014,2,79755
3140597,2014,2,27440
79418130,2014,1,6618
604833447,2014,1,3786
968860499,2014,1,4436.46
623503570,2014,16,88673.13
930681536,2014,2,11400
162939636,2014,126,2114709.77
832393680,2014,11,98335
780119918,2014,22,2472871.92
943491092,2014,1,3994.52
79564534,2014,1,68016
103175931,2014,47,19387049.87
362935991,2014,4,40485.14
127038698,2014,34,13011981.06
79152293,2014,9,56480.1
167085393,2014,17,670208.67
798966636,2014,5,61750
963368159,2014,13,103522.06
161579057,2014,1,10050
74822669,2014,14,336313
253530414,2014,12,2752997.53
946744950,2014,1,4367
37999331,2014,20,348966.4
2207686,2014,95,826876.98
133090118,2014,5,34000
828494968,2014,52,1473307.6
128506321,2014,1,4420.44
609739115,2014,99,700486.55
173814856,2014,55,26098338.99
69732829,2014,25,194550
179550850,2014,6,275984.5
25177176,2014,11,405539.5
42803536,2014,11,2438267.8
828415161,2014,4,5600
78449492,2014,17,888459.75
967912853,2014,5,6737245.45
50816297,2014,44,2383301
26484808,2014,1,12080
13326038,2014,90,349969.6
17459434,2014,2,14436.44
87757167,2014,27,1024025.92
137680729,2014,2,740250
41419222,2014,10,137233.46
146576413,2014,1,7800
20634338,2014,9,4425
157004896,2014,68,3948615.67
112391557,2014,3,710849
969059851,2014,2,10494
790934285,2014,85,12394206.77
177307592,2014,1,11594
6921092,2014,14,1217349.66
7972800,2014,3,10143.18
161847660,2014,1,5376
573543063,2014,12,3152375.73
152701538,2014,22,121402.49
796695455,2014,29,2279074.2
20152687,2014,2,104703.26
622936151,2014,3,3377675.24
933998254,2014,4,300653.75
82603643,2014,1,22000
78579006,2014,5,125088.16
169893281,2014,16,27783814.4
931524086,2014,18,198228.06
691337759,2014,5,7377.26
2022655,2014,1,4640
195131834,2014,10,312133.5
85445377,2014,1,747
94133670,2014,1,3000
8906005,2014,2,10383.67
12418161,2014,27,15437476.33
787863844,2014,4,238521.1
807689849,2014,12,6125
6473137,2014,1,4193.8
798825167,2014,31,562076.87
64473325,2014,2,54000
168096191,2014,5,203825
788249881,2014,44,21051100.48
930930529,2014,55,2259774.54
149617367,2014,12,754732.59
79464634,2014,1,70000
691447238,2014,43,4048657.65
78304675,2014,8,226520.5
17395711,2014,14,9434217.58
78497486,2014,5,53471.68
802066423,2014,3,14186.96
832686880,2014,3,40977.49
70129060,2014,5,119800
787773345,2014,1,3736.25
432890077,2014,1,135415.7
13335767,2014,1,3664.86
617226779,2014,10,127395.16
125202643,2014,3,1447202
194794157,2014,6,264592.65
13807144,2014,47,5390687.58
170945823,2014,14,7213485.71
942173550,2014,72,816002.09
829327027,2014,4,693204.27
619504442,2014,38,306680.81
557069440,2014,6,36487.2
78531580,2014,1,50000
969872725,2014,10,133840
624113606,2014,16,967431.67
54626437,2014,2,14312.42
603850947,2014,3,17492.4
156319535,2014,1,250952.05
8344574,2014,1,3707.94
557817071,2014,2,59555.8
142370175,2014,10,322228.93
965493575,2014,12,1420904.7
23715139,2014,3,13075
828611603,2014,70,606024.8
791535151,2014,5,5946940.6
109728969,2014,41,5292717.24
117319165,2014,1,4500
791468734,2014,78,408302.31
91793778,2014,9,184331
76015106,2014,47,6298022.26
114719003,2014,10,95507.59
131300071,2014,3,47163
878648294,2014,28,5044210.27
962118324,2014,16,234024.34
17620899,2014,24,564254.3
849163068,2014,3,9050
36537264,2014,7,486417.5
196122779,2014,3,54075
60017282,2014,8,4447486
36472116,2014,15,8802555.75
130598287,2014,1,45052
79385358,2014,15,190226.58
938401304,2014,3,72934.75
64737240,2014,29,1299793
83211284,2014,81,3957361.99
801882226,2014,19,297909.58
39675744,2014,14,1484063.9
809923766,2014,1,4800
611052841,2014,1,36300
133819495,2014,1,9430.82
46366428,2014,5,715785
9125550,2014,18,172853.48
79247211,2014,1,143928
78546528,2014,2,112214
131362733,2014,41,1793465.67
59646162,2014,18,1538270.65
947033999,2014,18,6380977.73
966557100,2014,6,28296
127860158,2014,1,5895
105612969,2014,8,72000
785120580,2014,1,10000
687879262,2014,9,189906.49
41426065,2014,38,3053721.12
938288222,2014,3,20817.4
112716357,2014,6,12734051
826524535,2014,2,20653.81
831835108,2014,10,2364182.01
16979501,2014,5,511753.43
859466302,2014,4,142661
18103940,2014,1,14622.3
617313614,2014,32,9030497.16
113938315,2014,1,3752.07
621572932,2014,6,128445.58
1152420,2014,4,42389.24
7916836,2014,2,139607.14
49515844,2014,15,1157606.5
2078665,2014,59,431595
4202644,2014,27,315474.98
7333800,2014,17,6123234.03
609311592,2014,5,101910.85
10210524,2014,7,24500
785627472,2014,99,27911673.99
791542348,2014,1,14999.6
623422271,2014,4,157984
2068856,2014,4,28138.5
784227402,2014,11,127225
79410029,2014,1,11547.97
27694211,2014,5,47850.06
360980275,2014,15,5573563.24
30556674,2014,6,55009.39
131045028,2014,10,184764.36
692484764,2014,14,150870.57
617869912,2014,6,5735106.09
65646846,2014,25,35041.99
27369743,2014,2,13229
119555857,2014,44,1498874.46
79044798,2014,1,8150
